Ticker,Date,Close
BANKNIFTY,2020-01-01,32102.9
MIDCPNIFTY,2020-01-01,4345.92
NIFTY,2020-01-01,12182.5
BANKNIFTY,2020-01-02,32443.85
MIDCPNIFTY,2020-01-02,4430.67
NIFTY,2020-01-02,12282.2
BANKNIFTY,2020-01-03,32069.25
MIDCPNIFTY,2020-01-03,4382.27
NIFTY,2020-01-03,12226.65
BANKNIFTY,2020-01-06,31237.15
MIDCPNIFTY,2020-01-06,4276.76
NIFTY,2020-01-06,11993.05
BANKNIFTY,2020-01-07,31399.4
MIDCPNIFTY,2020-01-07,4313.79
NIFTY,2020-01-07,12052.95
BANKNIFTY,2020-01-08,31373.65
MIDCPNIFTY,2020-01-08,4316.97
NIFTY,2020-01-08,12025.35
BANKNIFTY,2020-01-09,32092.4
MIDCPNIFTY,2020-01-09,4399.53
NIFTY,2020-01-09,12215.9
BANKNIFTY,2020-01-10,32097.4
MIDCPNIFTY,2020-01-10,4424.04
NIFTY,2020-01-10,12256.8
BANKNIFTY,2020-01-13,32177.65
MIDCPNIFTY,2020-01-13,4468.87
NIFTY,2020-01-13,12329.55
BANKNIFTY,2020-01-14,32071.65
MIDCPNIFTY,2020-01-14,4509.17
NIFTY,2020-01-14,12362.3
BANKNIFTY,2020-01-15,31824.9
MIDCPNIFTY,2020-01-15,4559.58
NIFTY,2020-01-15,12343.3
BANKNIFTY,2020-01-16,31853.9
MIDCPNIFTY,2020-01-16,4595.14
NIFTY,2020-01-16,12355.5
BANKNIFTY,2020-01-17,31590.65
MIDCPNIFTY,2020-01-17,4606.5
NIFTY,2020-01-17,12352.35
BANKNIFTY,2020-01-20,31080.65
MIDCPNIFTY,2020-01-20,4570.6
NIFTY,2020-01-20,12224.55
BANKNIFTY,2020-01-21,30947.55
MIDCPNIFTY,2020-01-21,4577.14
NIFTY,2020-01-21,12169.85
BANKNIFTY,2020-01-22,30701.45
MIDCPNIFTY,2020-01-22,4573.69
NIFTY,2020-01-22,12106.9
BANKNIFTY,2020-01-23,31004.05
MIDCPNIFTY,2020-01-23,4645.03
NIFTY,2020-01-23,12180.35
BANKNIFTY,2020-01-24,31241.75
MIDCPNIFTY,2020-01-24,4669.52
NIFTY,2020-01-24,12248.25
BANKNIFTY,2020-01-27,30837.4
MIDCPNIFTY,2020-01-27,4654.9
NIFTY,2020-01-27,12119
BANKNIFTY,2020-01-28,30761.4
MIDCPNIFTY,2020-01-28,4630.49
NIFTY,2020-01-28,12055.8
BANKNIFTY,2020-01-29,30877
MIDCPNIFTY,2020-01-29,4645.33
NIFTY,2020-01-29,12129.5
BANKNIFTY,2020-01-30,30647.4
MIDCPNIFTY,2020-01-30,4593.02
NIFTY,2020-01-30,12035.8
BANKNIFTY,2020-01-31,30833.6
